Log Stop
GYRO
-0.525000,0.227500,-0.472500
-0.472500,-0.070000,-0.472500
-0.472500,-0.122500,-0.332500
-0.332500,0.385000,-0.525000
-0.525000,0.210000,-0.542500
-0.542500,-0.017500,-0.332500
-0.332500,0.035000,-0.647500
-0.647500,0.157500,-0.245000
-0.245000,0.052500,-0.595000
-0.595000,0.035000,-0.525000
-0.525000,0.227500,-0.752499
-0.752499,0.210000,-0.630000
-0.630000,0.087500,-0.647500
-0.647500,0.717499,0.472500
-0.577500,-0.017500,0.385000
ALTITUDE
899.404358
895.688721
900.259766
898.227356
897.324097
896.037659
894.573425
896.085571
899.028015
895.750305
898.911682
898.056274
898.644775
902.066467
896.516663
897.187256
894.087585
894.525513
Cache dumped
